date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2017-03-05,29.0,12.0,0.0,11.6,5.0,3.8333333333333335,48.0,-0.875,22.25,22.291666666666668,22.958333333333332,19.916666666666668,0.0,21.25,0.0,1010.4166666666666,19.666666666666668,10.0,302.625,13.416666666666666
2017-03-06,29.0,12.0,0.0,11.6,6.0,3.9166666666666665,55.0,0.8333333333333334,22.541666666666668,22.625,23.125,18.375,8.166666666666666,23.625,0.0,1009.7083333333334,20.416666666666668,10.0,295.4166666666667,11.875
2017-03-07,30.0,13.0,0.0,8.8,6.0,3.8333333333333335,63.0,1.25,23.083333333333332,23.125,23.833333333333332,12.708333333333334,32.333333333333336,23.875,0.0,1008.375,22.125,10.0,199.66666666666666,7.208333333333333
2017-03-08,28.0,15.0,0.0,11.6,6.0,3.9166666666666665,70.0,6.375,21.208333333333332,21.208333333333332,21.708333333333332,21.708333333333332,28.0,38.75,0.004166666666666667,1008.3333333333334,21.125,9.958333333333334,42.0,13.083333333333334
2017-03-09,28.0,14.0,0.0,11.6,5.0,3.625,77.0,8.5,20.958333333333332,20.958333333333332,21.166666666666668,13.291666666666666,22.666666666666668,47.208333333333336,0.02916666666666667,1007.3333333333334,20.0,9.666666666666666,111.0,7.75
2017-03-10,26.0,13.0,0.0,11.6,4.0,3.5,85.0,12.208333333333334,19.041666666666668,19.166666666666668,19.125,17.083333333333332,8.375,67.375,0.1625,1006.7916666666666,17.541666666666668,9.875,132.625,11.416666666666666
2017-03-11,23.0,11.0,0.0,11.6,5.0,3.4166666666666665,92.0,7.833333333333333,18.125,18.416666666666668,18.125,11.416666666666666,8.583333333333334,55.916666666666664,0.0375,1010.0,16.25,9.0,145.75,7.208333333333333
2017-03-12,23.0,9.0,0.0,11.6,5.0,3.4583333333333335,99.0,3.5833333333333335,18.833333333333332,19.166666666666668,18.875,14.625,3.0833333333333335,39.125,0.0,1014.25,16.041666666666668,10.0,257.25,9.625
2017-03-13,25.0,10.0,0.0,11.6,5.0,3.4166666666666665,100.0,1.2083333333333333,19.708333333333332,19.833333333333332,19.958333333333332,15.166666666666666,1.375,29.583333333333332,0.0,1014.375,16.541666666666668,10.0,289.8333333333333,9.958333333333334
2017-03-14,26.0,10.0,0.0,11.6,5.0,3.6666666666666665,86.0,-0.25,20.291666666666668,20.166666666666668,20.75,10.75,8.291666666666666,25.666666666666668,0.0,1015.875,17.916666666666668,10.0,201.20833333333334,6.833333333333333
